2	SEP180084D	DEADLY CLASS TP VOL 01 MEDIA TIE-IN ED (MR)	9.99	4.4955	8.99	3	2	IMAGE COMICS
1	JUL150603D	DEADLY CLASS TP VOL 03 THE SNAKE PIT (MR)	14.99	6.7455	6.75	3	2	IMAGE COMICS
1	JAN170822D	DEADLY CLASS TP VOL 05 CAROUSEL (MR)	14.99	6.7455	6.75	3	2	IMAGE COMICS
1	MAY219558U	DEMON SLAYER KIMETSU VIBRATION STARS NEZUKO KAMADO FIG (O/A)	24.99	14.9940	14.99	10	2	
2	NOV211708E	GUN HONEY TP VOL 01 (MR) (C: 0-1-0)	17.99	9.5347	19.07	3	2	TITAN COMICS
1	MAY161507E	HIP HOP FAMILY TREE GN BOX SET 1983-1985 (C: 0-1-2)	49.99	26.4947	26.49	3	2	FANTAGRAPHICS BOOKS
1	MAY141408E	HIP HOP FAMILY TREE GN VOL 01 (NEW PTG) (C:	27.99	14.8347	14.83	3	2	FANTAGRAPHICS BOOKS
1	MAY208028I	POP DISNEY PINOCCHIO BLUEFAIRY W/ GL CHASE VINYL FIG (C: 1-1	11.99	7.1435	7.14	10	2	
5	OCT209396I	POP ROCKS DEVO WHIP IT W/ WHIP VIN FIG (C: 1-1-2)	11.99	7.1435	35.72	10	2	
2	AUG211773E	RED ROOM ANTISOCIAL NETWORK TP (MR) (C: 0-1-2)	22.99	12.1847	24.37	3	2	FANTAGRAPHICS BOOKS
1	DEC160767D	SEVEN TO ETERNITY TP VOL 01	9.99	4.4955	4.50	3	2	IMAGE COMICS
2	JAN140159V	TRUE LIVES OF FABULOUS KILLJOYS TP (C: 0-1-2)	19.99	9.4953	18.99	3	2	DARK HORSE COMICS
2	FEB228632J	A TOWN CALLED TERROR #1 THANK YOU FRT CREDIT (NET)	0.07	0.0750	0.15	30	5	
20	FEB220695E	ALICE EVER AFTER #1 (OF 5) CVR E FOC REVEAL VAR CAMPBELL	3.99	0.0000	0.00	1	3	BOOM! STUDIOS
3	MAR221968E	ARCHER & ARMSTRONG FOREVER #1 CVR A CHANG	3.99	1.9950	5.99	1	1	VALIANT ENTERTAINMENT LLC
3	MAR221969E	ARCHER & ARMSTRONG FOREVER #1 CVR B TALASKI	3.99	1.9950	5.99	1	1	VALIANT ENTERTAINMENT LLC
3	MAR221970E	ARCHER & ARMSTRONG FOREVER #1 CVR C HIPP	3.99	1.9950	5.99	1	1	VALIANT ENTERTAINMENT LLC
3	MAR221972E	ARCHER & ARMSTRONG FOREVER #1 CVR E PRE-ORDER BUNDLE ED	3.99	1.9950	5.99	1	1	VALIANT ENTERTAINMENT LLC
1	FEB228425E	ARCHER & ARMSTRONG FOREVER #1 CVR F BLANK	3.99	1.9950	2.00	1	3	VALIANT ENTERTAINMENT LLC
1	FEB229262D	AVENGERS FOREVER #4 2ND PTG CAMUNCOLI VAR	3.99	1.9950	2.00	1	3	MARVEL PRH
1	FEB220963D	AVENGERS FOREVER #5	3.99	1.9950	2.00	1	3	MARVEL PRH
1	MAR221816D	BAUHAUS GRAPHIC NOVEL (C: 1-1-0)	24.95	11.2275	11.23	3	1	PRESTEL
1	FEB220920D	BEN REILLY SPIDER-MAN #4 (OF 5)	3.99	1.9950	2.00	1	1	MARVEL PRH
1	JAN220975D	BLACK PANTHER LEGENDS #4 (OF 4) (RES)	3.99	1.9950	2.00	1	3	MARVEL PRH
2	MAR222078E	BORUTO GN VOL 14 NARUTO NEXT GENERATIONS (C: 0-1-2)	9.99	4.9950	9.99	3	1	VIZ LLC
1	FEB221372J	COMIC SHOP NEWS (90CT BUNDLE) #1811 (NET)	14.99	14.9900	14.99	2	1	COMIC SHOP NEWS INC
9	DEC210272D	DEADLY CLASS #52 CVR A CRAIG (MR)	3.99	1.7955	16.16	1	1	IMAGE COMICS
4	DEC210273D	DEADLY CLASS #52 CVR B HILL (MR)	3.99	1.7955	7.18	1	1	IMAGE COMICS
15	MAR221220E	DOGS OF LONDON #1 CVR A CLARKE	4.99	2.4950	37.43	1	1	AFTERSHOCK COMICS
5	MAR221222E	DOGS OF LONDON #1 CVR B 15 COPY INCV	4.99	2.4950	12.48	1	1	AFTERSHOCK COMICS
1	MAR221222E	DOGS OF LONDON #1 CVR B 15 COPY INCV	4.99	0.0000	0.00	1	3	AFTERSHOCK COMICS
2	MAR222076E	DR STONE GN VOL 21 (C: 0-1-2)	9.99	4.9950	9.99	3	1	VIZ LLC
1	NOV211841E	DRAGON BALL SUPER GN VOL 15 (C: 0-1-2)	9.99	4.9950	5.00	3	1	VIZ LLC
5	MAR221477F	DUEL #2 (OF 10)	4.99	2.7445	13.72	1	1	BLISS ON TAP
25	MAR220767E	DUNE THE WATERS OF KANLY #1 (OF 4) CVR A WARD	4.99	2.4950	62.38	1	1	BOOM! STUDIOS
1	MAR220768E	DUNE THE WATERS OF KANLY #1 (OF 4) CVR B 25 COPY INCV YOON	4.99	2.4950	2.50	1	1	BOOM! STUDIOS
2	MAR220770E	DUNE THE WATERS OF KANLY #1 (OF 4) CVR D FOC REVEAL VAR	4.99	2.4950	4.99	1	1	BOOM! STUDIOS
2	MAR220772E	DUNE THE WATERS OF KANLY #1 (OF 4) CVR F UNLOCKABLE VAR WARD	4.99	2.4950	4.99	1	1	BOOM! STUDIOS
43	JAN220039J	FCBD 2022 10 TON PRESS PRESENTS 10 TON TALES (NET)	0.35	0.0000	0.00	13	1	
10	MAR220217D	FIRE POWER BY KIRKMAN & SAMNEE #20 CVR A SAMNEE & WILSON	3.99	1.7955	17.96	1	1	IMAGE COMICS
3	MAR220218D	FIRE POWER BY KIRKMAN & SAMNEE #20 CVR B FINCH & MCCAIG	3.99	1.7955	5.39	1	1	IMAGE COMICS
3	MAR220219D	FIRE POWER BY KIRKMAN & SAMNEE #20 CVR C CHEUNG & RAMOS	3.99	1.7955	5.39	1	1	IMAGE COMICS
3	MAR220220D	FIRE POWER BY KIRKMAN & SAMNEE #20 CVR D JUNG GI	3.99	1.7955	5.39	1	1	IMAGE COMICS
15	FEB221293F	FOLLOW ME INTO THE DARKNESS #3 (OF 4) CVR A CONNELLY (MR)	3.99	2.1945	32.92	1	1	BEHEMOTH COMICS
5	FEB221294F	FOLLOW ME INTO THE DARKNESS #3 (OF 4) CVR B CONNELLY (MR)	3.99	2.1945	10.97	1	1	BEHEMOTH COMICS
5	FEB221295F	FOLLOW ME INTO THE DARKNESS #3 (OF 4) CVR C CONNELLY (MR)	3.99	2.1945	10.97	1	1	BEHEMOTH COMICS
5	MAR220072D	FRONTIERSMAN LOCKUP SPEC (ONE-SHOT) (MR)	5.99	2.6955	13.48	1	1	IMAGE COMICS
1	FEB220875D	GIANT-SIZE X-MEN THUNDERBIRD #1	4.99	2.4950	2.50	1	1	MARVEL PRH
1	JAN221363F	HAPPY HILL #3 (OF 5) (MR) (C: 0-1-0)	4.99	2.7445	2.74	1	1	COMIXTRIBE
1	FEB220634E	HELL SONJA #4 CVR A PARRILLO	3.99	1.9950	2.00	1	2	DYNAMITE
1	MAR222194F	HINAMATSURI GN VOL 15 (C: 0-1-2)	11.95	6.5725	6.57	3	1	ONE PEACE BOOKS
1	FEB221002D	IRON MAN #19	3.99	1.9950	2.00	1	1	MARVEL PRH
1	FEB220651E	JENNIFER BLOOD #7 CVR G 15 COPY INCV LINSNER B&W (MR)	3.99	1.9950	2.00	1	2	DYNAMITE
1	MAR220864E	JIM HENSONS STORYTELLER SHAPESHIFTERS #3 CVR A FRANY	4.99	2.4950	2.50	1	1	BOOM! STUDIOS
1	MAR220865E	JIM HENSONS STORYTELLER SHAPESHIFTERS #3 CVR B MANHANINI	4.99	2.4950	2.50	1	1	BOOM! STUDIOS
1	FEB228716E	JOHN CARTER OF MARS #1 CVR U 11 COPY FOC INCV HOMAGE MYCHAEL	3.99	1.9950	2.00	1	2	DYNAMITE
38	JAN218311J	JUNJI ITO KAWAII TITANS 18PC MINI FIG DISP (NET) (C: 1-1-2)	118.69	108.8000	4134.40	10	3	
2	FEB220221D	KILLADELPHIA #21 CVR B AZACETA (MR)	3.99	1.7955	3.59	1	2	IMAGE COMICS
2	FEB220776E	KILLER AFFAIRS OF STATE #3 (OF 6) CVR A JACAMON (MR)	4.99	2.4950	4.99	1	1	BOOM! STUDIOS
1	MAR221747D	KISSES FOR JET (MR) (C: 1-1-0)	19.99	8.9955	9.00	3	1	NOBROW
1	JAN221250E	KNIGHTED #5 (OF 5) CVR B TEXEIRA & FERGUSON	3.99	1.9950	2.00	1	2	AWA STUDIOS
25	MAR220236D	LITTLE MONSTERS #3 CVR A NGUYEN (MR)	3.99	1.7955	44.89	1	1	IMAGE COMICS
10	MAR220237D	LITTLE MONSTERS #3 CVR B SORRENTINO (MR)	3.99	1.7955	17.96	1	1	IMAGE COMICS
1	FEB220985D	MAESTRO WORLD WAR M #3 (OF 5)	3.99	1.9950	2.00	1	1	MARVEL PRH
5	MAR220841E	MAGIC THE GATHERING (MTG) #14 CVR A MERCADO	4.99	2.4950	12.48	1	1	BOOM! STUDIOS
10	MAR220842E	MAGIC THE GATHERING (MTG) #14 CVR B HIDDEN SPARK INTERMIX	4.99	2.4950	24.95	1	1	BOOM! STUDIOS
1	MAR220843E	MAGIC THE GATHERING (MTG) #14 CVR C 10 COPY INCV HANS	4.99	2.4950	2.50	1	1	BOOM! STUDIOS
6	FEB220227D	MANIFEST DESTINY #46 (RES) (MR)	3.99	1.7955	10.77	1	1	IMAGE COMICS
1	FEB220935D	MARAUDERS #2	3.99	1.9950	2.00	1	1	MARVEL PRH
30	MAR220053D	METAL SOCIETY #1 (OF 5) CVR A BALBI & LESKO	3.99	1.7955	53.87	1	1	IMAGE COMICS
10	MAR220054D	METAL SOCIETY #1 (OF 5) CVR B KHALIDAH	3.99	1.7955	17.96	1	1	IMAGE COMICS
10	MAR220055D	METAL SOCIETY #1 (OF 5) CVR C QUAH	3.99	1.7955	17.96	1	1	IMAGE COMICS
10	JAN228461D	METAL SOCIETY #1 (OF 5) CVR D 5 COPY INCV MANHANINI	3.99	1.7955	17.96	1	3	IMAGE COMICS
5	JAN228462D	METAL SOCIETY #1 (OF 5) CVR E 10 COPY INCV BLANCO	3.99	1.7955	8.98	1	3	IMAGE COMICS
2	JAN228463D	METAL SOCIETY #1 (OF 5) CVR F 25 COPY INCV SILVESTRI	3.99	1.7955	3.59	1	3	IMAGE COMICS
1	MAR221437F	MEZO BATTLE AT COBAN ROCK #1 (OF 5) CVR A VAL RODRIGUES	3.99	2.1945	2.19	1	1	A WAVE BLUE WORLD INC
1	MAR221438F	MEZO BATTLE AT COBAN ROCK #1 (OF 5) CVR B TERRY BLAS	3.99	2.1945	2.19	1	1	A WAVE BLUE WORLD INC
2	NOV210333V	MOB PSYCHO 100 TP VOL 08 (C: 1-1-2)	11.99	5.6953	11.39	3	3	DARK HORSE COMICS
1	NOV211792E	MONEY SHOT TP VOL 03 (MR) (C: 0-1-0)	15.99	7.9950	8.00	3	3	VAULT COMICS
7	MAR220240D	MONKEY MEAT #5 (OF 5)	3.99	1.7955	12.57	1	1	IMAGE COMICS
2	JAN221983F	ODE TO KIRITO OMNIBUS GN (C: 0-1-1)	34.95	19.2225	38.45	3	1	VERTICAL COMICS
10	MAR220846E	ONCE & FUTURE #25 CVR A MORA	4.99	2.4950	24.95	1	1	BOOM! STUDIOS
1	MAR220847E	ONCE & FUTURE #25 CVR B 10 COPY INCV MORA	4.99	2.4950	2.50	1	1	BOOM! STUDIOS
3	MAR220849E	ONCE & FUTURE #25 CVR D FOC REVEAL VAR DI MEO	4.99	2.4950	7.49	1	1	BOOM! STUDIOS
2	MAR220850E	ONCE & FUTURE #25 CVR E UNLOCKABLE VAR DI MEO	4.99	2.4950	4.99	1	1	BOOM! STUDIOS
2	MAR222067E	ONE PIECE GN VOL 99 (C: 0-1-2)	9.99	4.9950	9.99	3	1	VIZ LLC
1	FEB221800F	OZ ANNUAL DOMINION OF OZMO ONE SHOT #2 CVR A VITORINO	7.99	4.3945	4.39	1	3	ZENESCOPE ENTERTAINMENT INC
1	FEB220458H	PROJECT SUPERPOWERS FRACTURED STATES #1 CVR M ATLAS MARZ SIG	49.99	29.9940	29.99	1	3	DYNAMITE
30	FEB229788J	PROMO POSTER UMBRELLA ACADEMY (NET)	0.00	0.0000	0.00	13	1	
140	FEB221768E	QUESTS ASIDE #1 CVR A GOGOU	4.99	2.4950	349.30	1	3	VAULT COMICS
60	FEB221769E	QUESTS ASIDE #1 CVR B DIALYNAS	4.99	2.4950	149.70	1	3	VAULT COMICS
10	JAN228924E	QUESTS ASIDE #1 CVR C GOODEN 5 COPY INC	4.99	2.4950	24.95	1	3	VAULT COMICS
10	JAN228925E	QUESTS ASIDE #1 CVR D BRANDT & STEIN 10 COPY INCV	4.99	2.4950	24.95	1	3	VAULT COMICS
8	JAN228926E	QUESTS ASIDE #1 CVR E SARIN 25 COPY INCV	4.99	2.4950	19.96	1	3	VAULT COMICS
4	JAN228927E	QUESTS ASIDE #1 CVR F HOWELL 50 COPY INCV	4.99	2.4950	9.98	1	3	VAULT COMICS
2	JAN228928E	QUESTS ASIDE #1 CVR G HENDERSON 75 COPY INCV	4.99	2.4950	4.99	1	3	VAULT COMICS
2	JAN228929E	QUESTS ASIDE #1 CVR H HENDERSON DLX FOIL 100 COPY INCV	4.99	2.4950	4.99	1	3	VAULT COMICS
15	FEB220236D	RADIANT BLACK #14 CVR A COSTA & MONTI	3.99	1.7955	26.93	1	1	IMAGE COMICS
5	FEB220237D	RADIANT BLACK #14 CVR B GRIFFIN	3.99	1.7955	8.98	1	1	IMAGE COMICS
15	FEB220245D	RIGHTEOUS THIRST FOR VENGEANCE #7 (MR)	3.99	1.7955	26.93	1	1	IMAGE COMICS
7	MAR220489E	ROCKETEER THE GREAT RACE #2 (OF 4) CVR A GABRIEL RODRIGUEZ	4.99	2.4950	17.47	1	1	IDW PUBLISHING
3	MAR220490E	ROCKETEER THE GREAT RACE #2 (OF 4) CVR B STEPHEN MOONEY	4.99	2.4950	7.49	1	1	IDW PUBLISHING
1	MAR220491J	ROCKETEER THE GREAT RACE #2 (OF 4) CVR C 10 COPY INCV RODRIG	0.00	0.0000	0.00	1	1	IDW PUBLISHING
5	FEB229689J	ROGUE SUN #3 CVR A OVERSHIP FRT CREDIT (NET)	0.07	0.0750	0.38	30	5	
1	NOV210289V	SIN CITY DLX HC VOL 04 THAT YELLOW BASTARD (4TH ED) (MR) (C:	100.00	47.5000	47.50	3	3	DARK HORSE COMICS
1	NOV210288V	SIN CITY TP VOL 04 THAT YELLOW BASTARD (4TH ED) (MR) (C: 0-1	25.00	11.8750	11.88	3	3	DARK HORSE COMICS
3	FEB229335J	SLUMBER #2 CVR A FOX OVERSHIP FRT CREDIT (NET)	0.07	0.0750	0.23	30	5	
1	FEB220251D	SLUMBER #2 CVR A FOX (MR)	3.99	1.7955	1.80	1	2	IMAGE COMICS
3	FEB220719E	SOMETHING IS KILLING THE CHILDREN #22 CVR A DELL EDERA	3.99	1.9950	5.99	1	1	BOOM! STUDIOS
20	JAN219207J	SPAWN #316 CVR D FRT CREDIT (NET)	0.07	0.0750	1.50	30	5	
1	MAR220897D	SPIDER-MAN 2099 EXODUS ALPHA #1	4.99	2.4950	2.50	1	1	MARVEL PRH
100	MAR221170D	SPIDEY AND FRIENDS GIVEAWAY SAMPLER #1	0.25	0.1250	12.50	1	3	MARVEL PRH
2	MAR220492E	STAR TREK MIRROR WAR #6 (OF 8) CVR A WOODARD	3.99	1.9950	3.99	1	1	IDW PUBLISHING
1	MAR220493E	STAR TREK MIRROR WAR #6 (OF 8) CVR B MADRIAGA	3.99	1.9950	2.00	1	1	IDW PUBLISHING
1	FEB221016D	STAR WARS #23	3.99	1.9950	2.00	1	1	MARVEL PRH
1	JAN229081E	STAR WARS INSIDER #210 FOC LUKE-GROGU TRADING CARD VAR	9.99	4.9950	5.00	2	3	TITAN COMICS
1	FEB229199E	STAR WARS INSIDER #210 FOC VAR	9.99	4.9950	5.00	2	3	TITAN COMICS
1	MAR221949E	STAR WARS INSIDER #210 NEWSSTAND ED	9.99	4.9950	5.00	2	3	TITAN COMICS
1	MAR221950E	STAR WARS INSIDER #210 PX ED	9.99	4.9950	5.00	2	3	TITAN COMICS
1	MAR221087D	STAR WARS OBI-WAN KENOBI #1 (OF 5)	3.99	1.9950	2.00	1	1	MARVEL PRH
1	FEB221517F	STARWARD #1 (OF 8) (RES)	3.99	2.1945	2.19	1	1	HEAVY METAL MAGAZINE
1	MAR210450E	THE TOWER TP (C: 0-1-1)	19.99	9.9950	10.00	3	1	IDW PUBLISHING
60	FEB220430E	TMNT ONGOING #128 CVR A TUNICA (C: 1-0-0)	3.99	1.9950	119.70	1	1	IDW PUBLISHING
40	FEB220431E	TMNT ONGOING #128 CVR B EASTMAN (C: 1-0-0)	3.99	1.9950	79.80	1	1	IDW PUBLISHING
10	FEB220432J	TMNT ONGOING #128 CVR C 10 COPY INCV WHALEN (NET) (C: 1-0-0)	0.00	0.0000	0.00	1	1	IDW PUBLISHING
2	FEB220437E	TRANSFORMERS BEAST WARS #15 CVR A JOHN JENNINGS	3.99	1.9950	3.99	1	1	IDW PUBLISHING
1	FEB220438E	TRANSFORMERS BEAST WARS #15 CVR B ANDY DUGGAN	3.99	1.9950	2.00	1	1	IDW PUBLISHING
6	MAR220507E	TRANSFORMERS BEST OF HOT ROD ONESHOT #1	6.99	3.4950	20.97	1	1	IDW PUBLISHING
120	MAR220035D	TWIG #1 (OF 5) CVR A STRAHM	3.99	1.7955	215.46	1	1	IMAGE COMICS
40	MAR220036D	TWIG #1 (OF 5) CVR B YOUNG	3.99	1.7955	71.82	1	1	IMAGE COMICS
40	MAR220037D	TWIG #1 (OF 5) CVR C MOMOKO	3.99	1.7955	71.82	1	1	IMAGE COMICS
20	MAR220038D	TWIG #1 (OF 5) CVR D 10 COPY INCV STRAHM VIRGIN	3.99	1.7955	35.91	1	1	IMAGE COMICS
8	MAR220039D	TWIG #1 (OF 5) CVR E 25 COPY INCV MOMOKO VIRGIN	3.99	1.7955	14.36	1	1	IMAGE COMICS
4	MAR220040D	TWIG #1 (OF 5) CVR F 50 COPY INCV YOUNG VIRGIN	3.99	1.7955	7.18	1	1	IMAGE COMICS
2	MAR220041D	TWIG #1 (OF 5) CVR G 100 COPY INCV YOUNG B&W VIRGIN	3.99	1.7955	3.59	1	1	IMAGE COMICS
5	FEB228719D	TWIG #1 (OF 5) CVR H BLANK SKETCH CVR	3.99	1.7955	8.98	1	3	IMAGE COMICS
6	FEB220266D	WALKING DEAD DLX #37 CVR A FINCH & MCCAIG (MR)	3.99	1.7955	10.77	1	2	IMAGE COMICS
5	MAR220278D	WALKING DEAD DLX #38 CVR B ADLARD & MCCAIG (MR)	3.99	1.7955	8.98	1	1	IMAGE COMICS
5	MAR220279D	WALKING DEAD DLX #38 CVR C PLATT & MCCAIG (MR)	3.99	1.7955	8.98	1	1	IMAGE COMICS
1	JAN221170E	WILLYS WONDERLAND PREQUEL #3 CVR A HASSON & HAESER	3.99	1.9950	2.00	1	1	AMERICAN MYTHOLOGY PRODUCTIONS
1	JAN221171E	WILLYS WONDERLAND PREQUEL #3 CVR B CALZADA	4.99	2.4950	2.50	1	3	AMERICAN MYTHOLOGY PRODUCTIONS
1	SEP211042D	WOLVERINE WEAPON X GALLERY EDITION HC	44.99	22.4950	22.50	3	2	MARVEL PRH